prov_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
311,25276.004,25057.049,24841.619,24705.297,24744.785,24558.398,24458.889,24368.02,24280.262,24189.199,24118.859,24411.316,24256.813,24025.939,23916.268,23863.539,23810.631,23762.246,23663.285,23568.855
312,116502.919,118022.618,119655.394,121111.98499999999,122489.446,124185.139,126102.24600000001,127730.58600000001,129649.298,131642.287,133533.114,135583.639,137797.239,140034.79700000002,142448.09999999998,144849.365,147247.7592,149898.31650000002,152536.3211,155334.592
313,35973.0763,35901.7256,35808.518599999996,35724.341400000005,35676.9115,35581.8548,35605.7925,35557.2761,35456.7232,35432.4743,35407.2457,35420.2551,35358.5659,35399.972,35450.7285,35430.312,35449.8909,35493.494399999996,35523.106700000004,35558.260299999994
314,48854.7383,49332.042700000005,50042.0074,50563.8579,51463.2463,52055.5405,52607.1228,53201.0342,53557.4761,54412.331399999995,54946.9436,55390.7509,56015.2323,56792.5816,57596.116500000004,58521.7891,59248.8726,60040.2653,60774.7693,61572.205
315,8769.0645,8761.875,8607.0742,8476.5352,8342.0566,8239.416,8159.979,7950.5962,7969.9741,7851.4126,7896.0381,7889.6597,7812.3662,7636.8916,7668.832,7599.0029,7594.6768,7520.8887,7399.1826,7349.2061
316,35396.246,35879.364,36257.765,36924.751000000004,37597.78,38085.201,38745.045,39274.881,40447.668000000005,41167.592000000004,41837.334,42361.770000000004,42977.615000000005,43343.116,43904.779,45054.781,45956.99,46737.325000000004,47581.899000000005,48381.117999999995
401,241671.8727,246935.90660000002,251924.6506,256781.4313,263465.3318,268943.0609,275051.3237,281097.1276,287240.6697,294216.0871,301371.5202,308697.6885,315519.1885,323090.2177,330815.9624,338686.9666,346562.67909999995,354636.1105,362926.2138,371485.67720000003
402,27609.9505,27929.4031,28460.2959,28869.0731,29230.0039,29614.0096,30095.1951,30555.6881,30828.8609,31095.6002,31553.8364,31994.572200000002,32542.754399999998,33055.5209,33573.9041,34020.3476,34478.891,34907.9046,35428.9404,35963.3146
403,10069.976999999999,10158.345399999998,10240.2192,10316.8996,10401.5473,10450.1754,10532.9758,10611.4662,10700.351,10766.9279,10853.1124,10952.5898,11047.8135,11131.5641,11208.6238,11371.2556,11453.7388,11547.2253,11646.5059,11752.2031
404,9391.5428,9385.562,9365.4658,9335.931700000001,9342.6445,9343.835500000001,9347.9214,9340.0049,9343.9814,9354.152399999999,9366.3227,9397.366699999999,9427.329600000001,9461.012200000001,9489.5737,9464.3506,9495.5777,9548.3691,9578.439199999999,9624.3135
