idx,varname,varlabel
307,cru_ts_405_pre_yearly_mean.2018.max,max precipitation in millimeters in 2018
308,cru_ts_405_pre_yearly_mean.2019.min,min precipitation in millimeters in 2019
309,cru_ts_405_pre_yearly_mean.2019.mean,mean precipitation in millimeters in 2019
310,cru_ts_405_pre_yearly_mean.2019.max,max precipitation in millimeters in 2019
311,cru_ts_405_pre_yearly_mean.2020.min,min precipitation in millimeters in 2020
312,cru_ts_405_pre_yearly_mean.2020.mean,mean precipitation in millimeters in 2020
313,cru_ts_405_pre_yearly_mean.2020.max,max precipitation in millimeters in 2020
314,modis_landcover_51.2012.categorical_barren_or_sparsely_vegetated,barren or sparsely vegetated categorical MODIS in 2012
315,modis_landcover_51.2012.categorical_count,count categorical MODIS in 2012
316,modis_landcover_51.2012.categorical_grasslands,grasslands categorical MODIS in 2012
317,modis_landcover_51.2012.categorical_open_shrublands,open shrublands categorical MODIS in 2012
318,modis_landcover_51.2012.categorical_water,water categorical MODIS in 2012
319,modis_landcover_51.2012.categorical_evergreen_needleleaf_forest,evergreen needleleaf forest categorical MODIS in 2012
320,modis_landcover_51.2012.categorical_evergreen_broadleaf_forest,evergreen broadleaf forest categorical MODIS in 2012
321,modis_landcover_51.2012.categorical_deciduous_needleleaf_forest,deciduous needleleaf forest categorical MODIS in 2012
322,modis_landcover_51.2012.categorical_deciduous_broadleaf_forest,deciduous broadleaf forest categorical MODIS in 2012
323,modis_landcover_51.2012.categorical_mixed_forest,mixed forest categorical MODIS in 2012
324,modis_landcover_51.2012.categorical_closed_shrublands,closed shrublands categorical MODIS in 2012
325,modis_landcover_51.2012.categorical_woody_savannas,woody savannas categorical MODIS in 2012
326,modis_landcover_51.2012.categorical_savannas,savannas categorical MODIS in 2012
327,modis_landcover_51.2012.categorical_permanent_wetlands,permanent wetlands categorical MODIS in 2012
328,modis_landcover_51.2012.categorical_croplands,croplands categorical MODIS in 2012
329,modis_landcover_51.2012.categorical_urban_and_builtup,urban and builtup categorical MODIS in 2012
330,modis_landcover_51.2012.categorical_cropland_natural_vegetation_mosaic,cropland natural vegetation mosaic categorical MODIS in 2012
331,modis_landcover_51.2012.categorical_snow_and_ice,snow and ice categorical MODIS in 2012
332,photov2019mean,mean photovoltaic potential in kWh/kWp in 2019
333,photov2019max,max photovoltaic potential in kWh/kWp in 2019
334,photov2019min,min photovoltaic potential in kWh/kWp in 2019
335,elev2017mean,Mean elevation in meters in 2017
336,elev2017max,Max elevation in meters in 2017
337,elev2017min,Min elevation in meters in 2017
338,distanceRoad2017mean,mean distance to road in meters in 2017
339,distanceRoad2017max,max distance to road in meters in 2017
340,distanceRoad2017min,min distance to road in meters in 2017
341,slope500m2017mean,mean slope in degrees in 2017
342,slope500m2017max,max slope in degrees in 2017
343,slope500m2017min,min slope in degrees in 2017
344,dist_water2017mean,mean distance to water in meters in 2017
345,dist_water2017max,max distance to water in meters in 2017
346,dist_water2017min,min distance to water in meters in 2017
