prov_id,prov,capital,dep,dep_id,dep_prov,n_mun,gadm_name,sources
606,O'Connor,Entre Ríos,Tarija,9,Tarija-O'Connor,1,O'Connor,https://es.wikipedia.org/wiki/Provincia_de_O%27Connor ; https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Tarija ; https://www.educa.com.bo/content/departamento-de-tarija
701,Andrés Ibáñez,Santa Cruz de la Sierra,Santa Cruz,8,Santa Cruz-Andrés Ibáñez,5,Andrés Ibáñez,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html ; https://en.wikipedia.org/wiki/Provinces_of_Bolivia
702,Warnes,Warnes,Santa Cruz,8,Santa Cruz-Warnes,2,Warnes,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html ; https://en.wikipedia.org/wiki/Provinces_of_Bolivia
703,Velasco,San Ignacio de Velasco,Santa Cruz,8,Santa Cruz-Velasco,3,Velasco,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html ; https://en.wikipedia.org/wiki/Provinces_of_Bolivia
704,Ichilo,Buena Vista,Santa Cruz,8,Santa Cruz-Ichilo,4,Ichilo,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html
705,Chiquitos,San José de Chiquitos,Santa Cruz,8,Santa Cruz-Chiquitos,3,Chiquitos,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html
706,Sara,Portachuelo,Santa Cruz,8,Santa Cruz-Sara,3,Sara,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html
707,Cordillera,Lagunillas,Santa Cruz,8,Santa Cruz-Cordillera,7,Cordillera,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html
708,Vallegrande,Vallegrande,Santa Cruz,8,Santa Cruz-Vallegrande,5,Vallegrande,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html
709,Florida,Samaipata,Santa Cruz,8,Santa Cruz-Florida,4,Florida,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html
710,Obispo Santistevan,Montero,Santa Cruz,8,Santa Cruz-Obispo Santistevan,5,Obispo Santistéban,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://es.wikipedia.org/wiki/Obispo_Santiestevan_(provincia) ; https://en.wikipedia.org/wiki/Obispo_Santistevan_Province
711,Ñuflo de Chávez,Concepción,Santa Cruz,8,Santa Cruz-Ñuflo de Chávez,6,Ñuflo De Chávez,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://en.wikipedia.org/wiki/%C3%91uflo_de_Ch%C3%A1vez_Province ; https://es.wikipedia.org/wiki/Provincia_%C3%91uflo_de_Chaves
712,Ángel Sandoval,San Matías,Santa Cruz,8,Santa Cruz-Ángel Sandoval,1,Angel Sandoval,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html
713,Manuel María Caballero,Comarapa,Santa Cruz,8,Santa Cruz-Manuel María Caballero,2,Manuel María Caballero,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://en.wikipedia.org/wiki/Provinces_of_Bolivia
714,Germán Busch,Puerto Suárez,Santa Cruz,8,Santa Cruz-Germán Busch,3,Germán Busch,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html
715,Guarayos,Ascensión de Guarayos,Santa Cruz,8,Santa Cruz-Guarayos,3,Guarayos,https://www.cedib.org/wp-content/uploads/2013/09/BOLIVIA-Crecimiento-intercensal-municipios.pdf ; https://www.eabolivia.com/santa-cruz-bolivia.html
801,Cercado,Trinidad,Beni,1,Beni-Cercado,2,Cercado,https://es.wikipedia.org/wiki/Departamento_del_Beni ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://es.wikipedia.org/wiki/Provincia_de_Cercado_(Beni)
802,Vaca Díez,Riberalta,Beni,1,Beni-Vaca Díez,2,Vaca Diez,https://es.wikipedia.org/wiki/Provincia_de_Vaca_D%C3%ADez ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://es.wikipedia.org/wiki/Departamento_del_Beni
803,José Ballivián,Reyes,Beni,1,Beni-José Ballivián,4,General José Ballivián,https://es.wikipedia.org/wiki/Provincia_del_General_Jos%C3%A9_Ballivi%C3%A1n ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://es.wikipedia.org/wiki/Departamento_del_Beni
804,Yacuma,Santa Ana del Yacuma,Beni,1,Beni-Yacuma,2,Yacuma,https://es.wikipedia.org/wiki/Provincia_de_Yacuma ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://es.wikipedia.org/wiki/Departamento_del_Beni
805,Moxos,San Ignacio de Moxos,Beni,1,Beni-Moxos,1,Moxos,https://es.wikipedia.org/wiki/Provincia_de_Moxos ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://es.wikipedia.org/wiki/Departamento_del_Beni
806,Marbán,Loreto,Beni,1,Beni-Marbán,2,Marbán,https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://es.wikipedia.org/wiki/Loreto_(Beni) ; https://es.wikipedia.org/wiki/Departamento_del_Beni
807,Mamoré,San Joaquín,Beni,1,Beni-Mamoré,3,Mamoré,https://es.wikipedia.org/wiki/Provincia_de_Mamor%C3%A9 ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://es.wikipedia.org/wiki/Departamento_del_Beni
