prov_id,prov,dep,dep_id,gdppc1990,gdppc1991,gdppc1992,gdppc1993,gdppc1994,gdppc1995,gdppc1996,gdppc1997,gdppc1998,gdppc1999,gdppc2000,gdppc2001,gdppc2002,gdppc2003,gdppc2004,gdppc2005,gdppc2006,gdppc2007,gdppc2008,gdppc2009,gdppc2010,gdppc2011,gdppc2012,gdppc2013,gdppc2014,gdppc2015,gdppc2016,gdppc2017,gdppc2018,gdppc2019,gdppc2020,gdppc2021,gdppc2022,gdppc2023,gdppc2024
211,Sud Yungas,La Paz,4,805.0,855.0,866.0,909.0,1068.0,1176.0,1528.0,1495.0,1484.0,1599.0,1641.0,1719.0,1781.0,2054.0,2703.0,2768.0,3129.0,3225.0,3709.0,3177.0,3148.0,3210.0,3249.0,3553.0,3541.0,3614.0,3702.0,4531.0,4485.0,4575.0,4719.0,5357.0,6021.0,6174.0,7408.0
212,Los Andes,La Paz,4,1081.0,1218.0,1277.0,1323.0,1567.0,1813.0,2177.0,2262.0,1770.0,1773.0,1902.0,2252.0,2668.0,2815.0,2956.0,2998.0,4951.0,5341.0,4984.0,5132.0,5673.0,5682.0,4977.0,5554.0,5319.0,5268.0,5416.0,6414.0,7489.0,7737.0,6975.0,7773.0,5528.0,5379.0,5523.0
213,Aroma,La Paz,4,972.0,1114.0,1171.0,1245.0,1481.0,1656.0,2075.0,2023.0,1981.0,2169.0,2019.0,2135.0,2211.0,2321.0,2465.0,2282.0,2419.0,3174.0,3302.0,3433.0,3321.0,3097.0,3282.0,3531.0,3535.0,3712.0,3786.0,4000.0,4393.0,4565.0,4105.0,4763.0,5281.0,5499.0,5570.0
214,Nor Yungas,La Paz,4,914.0,1067.0,1146.0,1197.0,1468.0,1583.0,1974.0,2072.0,1957.0,2027.0,1953.0,1990.0,2124.0,2225.0,2289.0,2456.0,2676.0,2907.0,3404.0,3589.0,3274.0,3939.0,3624.0,4012.0,4313.0,4427.0,4677.0,5094.0,5564.0,5743.0,5109.0,5826.0,6476.0,6509.0,6207.0
215,Abel Iturralde,La Paz,4,858.0,887.0,940.0,1004.0,1094.0,1402.0,1774.0,1757.0,1686.0,1972.0,1993.0,1977.0,2115.0,2214.0,2314.0,2363.0,3037.0,2767.0,2458.0,2508.0,2478.0,2677.0,3020.0,3470.0,2956.0,3135.0,3190.0,3816.0,3788.0,3915.0,3938.0,4388.0,4898.0,5131.0,5379.0
216,Bautista Saavedra,La Paz,4,842.0,880.0,900.0,956.0,1118.0,1236.0,1599.0,1608.0,1528.0,1682.0,1708.0,1666.0,1727.0,1807.0,1860.0,1948.0,2088.0,2162.0,2289.0,2363.0,2317.0,2340.0,2257.0,2488.0,2469.0,2627.0,2675.0,3108.0,3399.0,3780.0,3262.0,4052.0,4640.0,4960.0,5205.0
217,Manco Kapac,La Paz,4,1097.0,1169.0,1216.0,1264.0,1582.0,1709.0,2184.0,2220.0,2090.0,2234.0,2235.0,2336.0,2606.0,2736.0,2749.0,2692.0,2831.0,2913.0,2891.0,3789.0,4021.0,3990.0,3917.0,3891.0,3856.0,4558.0,4136.0,4444.0,5064.0,4866.0,4388.0,4906.0,5496.0,5515.0,5530.0
218,Gualberto Villarroel,La Paz,4,959.0,1001.0,1054.0,1112.0,1238.0,1349.0,1702.0,1743.0,1683.0,1799.0,1814.0,1921.0,1989.0,2004.0,2094.0,2196.0,2203.0,2329.0,2348.0,2410.0,2433.0,2399.0,2321.0,2579.0,2568.0,2743.0,2849.0,3179.0,3763.0,3863.0,3402.0,4162.0,4728.0,5001.0,5143.0
219,José Manuel Pando,La Paz,4,1190.0,1296.0,1373.0,1415.0,1630.0,1816.0,2217.0,2038.0,2124.0,2176.0,2221.0,2188.0,2329.0,2408.0,2493.0,2571.0,2708.0,2156.0,2159.0,2208.0,2284.0,2033.0,2033.0,2158.0,2231.0,2302.0,2446.0,2766.0,3268.0,3240.0,2880.0,3571.0,4195.0,4385.0,4343.0
220,Caranavi,La Paz,4,1167.0,1283.0,1570.0,1654.0,1525.0,1698.0,2162.0,2164.0,2154.0,2109.0,2149.0,1923.0,2030.0,2115.0,2222.0,2257.0,2758.0,2851.0,3297.0,3347.0,3458.0,3361.0,3240.0,3504.0,3528.0,3771.0,3876.0,4002.0,4504.0,4625.0,4336.0,4688.0,5049.0,5110.0,7187.0
